Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 1 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 2 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 3 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 4 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 INLET:System Node Temperature [C](TimeStep),ZONE 2 INLET:System Node Temperature [C](TimeStep),ZONE 3 INLET:System Node Temperature [C](TimeStep),ZONE 4 INLET:System Node Temperature [C](TimeStep),ZONE 1 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 2 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 3 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 4 INLET:System Node CO2 Concentration [ppm](TimeStep) 
 08/01  06:10:00,24.5,0.019418531,385.8648661,0,22.93590418,23.19382589,23.29817157,23.66653519,0.011816421,0.011816076,0.011810229,0.011810031,389.2380242,389.2371679,387.6326869,387.6325065,0,0,0,0,22.76294616,23.15537372,23.29402719,23.6730588,0.011773061,0.011772619,0.011772362,0.011772084,388.0787008,388.0783764,388.0480191,388.048404
 08/01  06:20:00,24.6,0.019538698,386.8647098,0,23.15248945,23.26191924,23.32129358,23.67431299,0.011865031,0.011864746,0.011850108,0.011849974,391.4904797,391.4893567,387.4195955,387.4191636,0,0,0,0,22.93590418,23.19382589,23.29817157,23.66653519,0.011816421,0.011816076,0.011810229,0.011810031,389.2380242,389.2371679,387.6326869,387.6325065
 08/01  06:30:00,24.7,0.019659541,389.8645535,0,23.32123746,23.33787144,23.35048233,23.68730558,0.011920425,0.011920173,0.011896162,0.011896089,394.1652046,394.1640506,387.4698502,387.4695024,0,0,0,0,23.15248945,23.26191924,23.32129358,23.67431299,0.011865031,0.011864746,0.011850108,0.011849974,391.4904797,391.4893567,387.4195955,387.4191636
 08/01  06:40:00,24.8,0.01978106,387.8643972,0,23.4290589,23.41147958,23.37976737,23.70124175,0.011983338,0.011983106,0.011950331,0.011950321,396.7012395,396.7001871,387.5548242,387.5546014,0,0,0,0,23.32123746,23.33787144,23.35048233,23.68730558,0.011920425,0.011920173,0.011896162,0.011896089,394.1652046,394.1640506,387.4698502,387.4695024
 08/01  06:50:00,24.9,0.019903261,389.864241,0,23.49771388,23.48055811,23.40782473,23.71510204,0.012053658,0.01205344,0.012012749,0.012012803,399.0562595,399.055344,387.6993133,387.6992603,0,0,0,0,23.4290589,23.41147958,23.37976737,23.70124175,0.011983338,0.011983106,0.011950331,0.011950321,396.7012395,396.7001871,387.5548242,387.5546014
 08/01  07:00:00,25,0.020026146,387.8640847,0,23.54902355,23.54586536,23.43500144,23.72905308,0.012130895,0.012130691,0.012082836,0.012082953,401.1343053,401.1335021,387.779688,387.7797227,0,0,0,0,23.49771388,23.48055811,23.40782473,23.71510204,0.012053658,0.01205344,0.012012749,0.012012803,399.0562595,399.055344,387.6993133,387.6992603
 08/01  07:10:00,25.46666667,0.019861061,384.8639285,0,23.60815324,23.61173839,23.46232202,23.74374466,0.012210068,0.012209879,0.012150336,0.012150507,404.2872391,404.2865056,387.6755301,387.6754699,0,0,0,0,23.54902355,23.54586536,23.43500144,23.72905308,0.012130895,0.012130691,0.012082836,0.012082953,401.1343053,401.1335021,387.779688,387.7797227
 08/01  07:20:00,25.93333333,0.019668653,387.8637722,0,23.67169138,23.67815941,23.49041024,23.75957301,0.012282556,0.012282384,0.012208778,0.012208987,408.1363133,408.1356158,387.6064333,387.6063131,0,0,0,0,23.60815324,23.61173839,23.46232202,23.74374466,0.012210068,0.012209879,0.012150336,0.012150507,404.2872391,404.2865056,387.6755301,387.6754699
 08/01  07:30:00,26.4,0.019447755,387.863616,0,23.73374668,23.74441775,23.51950878,23.77668666,0.012343808,0.012343651,0.012255936,0.012256169,412.0541208,412.0534257,387.5937616,387.5936368,0,0,0,0,23.67169138,23.67815941,23.49041024,23.75957301,0.012282556,0.012282384,0.012208778,0.012208987,408.1363133,408.1356158,387.6064333,387.6063131
 08/01  07:40:00,26.86666667,0.01919717,384.8634598,0,23.79240258,23.81013932,23.54964563,23.79509372,0.012392562,0.012392419,0.012291595,0.012291838,415.5906382,415.5898888,387.4785826,387.4783763,0,0,0,0,23.73374668,23.74441775,23.51950878,23.77668666,0.012343808,0.012343651,0.012255936,0.012256169,412.0541208,412.0534257,387.5937616,387.5936368
