Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep) 
 08/09  05:40:00,24.06666667,0.018710765,386.6927581,0,19.73425826,20.61518513,20.26427702,20.83205018,0.0101609,0.010160572,0.010160561,0.010160388,387.8694721,387.8701084,387.8267594,387.8280943
 08/09  05:50:00,23.98333333,0.018711398,389.6926153,0,19.7159842,20.58613149,20.22985703,20.79833008,0.010197404,0.010197228,0.010197185,0.010197105,388.0526233,388.0536707,388.016899,388.0183653
 08/09  06:00:00,23.9,0.018711484,391.6924725,0,19.69839844,20.56109663,20.19678993,20.7655001,0.010236809,0.010236767,0.010236695,0.010236698,388.432589,388.4344967,388.4030932,388.4050142
 08/09  06:10:00,24.36666667,0.018925392,386.6923297,0,19.84952629,20.59045908,20.19337816,20.75489325,0.010273875,0.010273933,0.010268236,0.010268297,390.1329364,390.1348289,388.5295864,388.5315214
 08/09  06:20:00,24.83333333,0.01913419,383.692187,0,20.05566669,20.6549773,20.20982277,20.75943481,0.01031036,0.010310489,0.010296005,0.010296111,392.395819,392.396687,388.3265581,388.3279552
 08/09  06:30:00,25.3,0.019337458,387.6920442,0,20.22854233,20.73263968,20.23448777,20.77060783,0.010347994,0.010348175,0.010324336,0.010324483,394.8481164,394.8477855,388.1531676,388.1541365
 08/09  06:40:00,25.76666667,0.019534764,382.6919015,0,20.351416,20.81239743,20.26175523,20.78427763,0.010387183,0.010387408,0.010354818,0.010355006,396.9912157,396.9893623,387.8433505,387.8437073
 08/09  06:50:00,26.23333333,0.019725658,386.6917588,0,20.44133799,20.89117091,20.2901935,20.79936938,0.010427501,0.010427764,0.01038727,0.010387497,398.9954112,398.9920948,387.6345216,387.6344931
 08/09  07:00:00,26.7,0.019909678,383.6916161,0,20.51694543,20.96880816,20.31989781,20.81593412,0.010468249,0.010468546,0.010420897,0.010421162,400.7504734,400.7455277,387.3887997,387.3883709
 08/09  07:10:00,26.96666667,0.019925133,387.6914734,0,20.59985897,21.04889701,20.35133875,20.83429971,0.010511338,0.010511669,0.010452388,0.010452681,403.911758,403.9052073,387.2887982,387.2882406
 08/09  07:20:00,27.23333333,0.019935296,382.6913307,0,20.68580627,21.13086055,20.3848244,20.85468599,0.010552335,0.010552693,0.01047943,0.010479742,407.6165455,407.6079386,387.0700518,387.0692038
 08/09  07:30:00,27.5,0.01994002,381.6911881,0,20.7693594,21.21372603,20.42047396,20.87718405,0.010587747,0.010588121,0.010500836,0.010501155,411.2036181,411.1924679,386.7199016,386.7185953
 08/09  07:40:00,27.76666667,0.019939149,383.6910454,0,20.8493283,21.2973923,20.45829537,20.90180933,0.010615884,0.010616263,0.010515951,0.010516267,414.556885,414.5429805,386.4129935,386.4113366
 08/09  07:50:00,28.03333333,0.019932531,383.6909028,0,20.92719741,21.38232995,20.4983232,20.92859522,0.010636038,0.01063641,0.010524254,0.010524556,417.643928,417.6271077,386.1687507,386.1668745
 08/09  08:00:00,28.3,0.019920008,383.6907601,0,21.00444571,21.46877946,20.54056813,20.95755954,0.010647784,0.010648136,0.010525202,0.010525482,420.4770753,420.4571662,385.9658709,385.9638635
 08/09  08:10:00,28.58333333,0.019836349,389.6906175,0.181818,21.15876879,21.57612516,20.5871047,20.99011699,0.01069897,0.010699346,0.010535439,0.010535707,434.6770287,434.6538396,388.6557634,388.6538629
